"orgs_short","Freq"
"Staphylococcus aureus",7865
"Salmonella enterica",7442
"Streptococcus pneumoniae",7389
"Escherichia coli",6797
"Mycobacterium tuberculosis",5225
"Klebsiella pneumoniae",2646
"Acinetobacter baumannii",2343
"Pseudomonas aeruginosa",2021
"Mycobacterium abscessus",1411
"Listeria monocytogenes",1377
"Shigella sonnei",1041
"Campylobacter jejuni",1005
"Streptococcus suis",865
"Neisseria meningitidis",845
"Streptococcus agalactiae",793
"Vibrio parahaemolyticus",788
"Vibrio cholerae",741
"Enterococcus faecium",715
"Clostridioides difficile",711
"Burkholderia pseudomallei",683
"Helicobacter pylori",651
"Bordetella pertussis",636
"Enterobacter cloacae",616
"Legionella pneumophila",543
"Enterococcus faecalis",514
"Bacillus cereus",432
"Neisseria gonorrhoeae",430
"Staphylococcus epidermidis",391
"Streptococcus pyogenes",356
"Enterobacter hormaechei",340
"Serratia marcescens",337
"Campylobacter coli",321
"Yersinia pestis",312
"Leptospira interrogans",297
"Burkholderia ubonensis",292
"Pseudomonas syringae",269
"Burkholderia cenocepacia",256
"Streptococcus equi",252
"Candidate division",248
"TPA_asm- Bacteroidales",243
"Parcubacteria group",232
"Lactobacillus plantarum",207
"Oenococcus oeni",202
"Corynebacterium diphtheriae",198
"Clostridium botulinum",197
"TPA_asm- Candidatus",195
"Bacillus thuringiensis",188
"Brucella abortus",187
"Streptococcus mutans",187
"Mycobacterium avium",184
"Shigella flexneri",180
"Staphylococcus haemolyticus",173
"Francisella tularensis",161
"Yersinia enterocolitica",159
"Cronobacter sakazakii",158
"Bacillus subtilis",157
"Brucella melitensis",152
"Bacillus anthracis",147
"Candidatus Woesebacteria bacterium",145
"Candidatus Nomurabacteria bacterium",144
"Chlamydia trachomatis",144
"Haemophilus influenzae",144
"Streptomyces sp. NRRL",144
"Stenotrophomonas maltophilia",142
"Acinetobacter pittii",141
"Xanthomonas oryzae",138
"Gammaproteobacteria bacterium",137
"TPA_asm- Lachnospiraceae",133
"Deltaproteobacteria bacterium",129
"Pasteurella multocida",126
"Klebsiella aerogenes",123
"Lactobacillus rhamnosus",123
"Bacteroides fragilis",115
"Pseudomonas fluorescens",115
"Lactococcus lactis",109
"TPA_asm- Firmicutes",106
"Chloroflexi bacterium",105
"Klebsiella quasipneumoniae",104
"TPA_asm- Ruminococcaceae",104
"Bacteroidetes bacterium",101
"TPA_asm- Prevotella",97
"Clostridiales bacterium",96
"Burkholderia cepacia",95
"Actinobacteria bacterium",94
"Klebsiella oxytoca",93
"Citrobacter freundii",92
"Propionibacterium acnes",91
"TPA_asm- Flavobacteriales",89
"Lactobacillus reuteri",87
"Candidatus Roizmanbacteria bacterium",86
"Streptococcus oralis",85
"TPA_asm- Clostridiales",85
"Pseudomonas putida",83
"Xanthomonas axonopodis",82
"Staphylococcus argenteus",81
"Xanthomonas citri",81
"Mycoplasma pneumoniae",80
"Bifidobacterium longum",79
"Candidatus Yanofskybacteria bacterium",79
"Acidobacteria bacterium",77
"Alphaproteobacteria bacterium",76
"Gilliamella apicola",75
"Lachnospiraceae bacterium",75
"Mycobacterium bovis",74
"Vibrio vulnificus",74
"Bacillus velezensis",73
"Corynebacterium pseudotuberculosis",73
"Firmicutes bacterium",72
"Proteus mirabilis",72
"TPA_asm- Bacillales",72
"Lactobacillus salivarius",71
"Shigella boydii",71
"Candidatus Kaiserbacteria bacterium",70
"Ralstonia solanacearum",70
"Campylobacter fetus",68
"Candidatus Uhrbacteria bacterium",68
"Bacillus licheniformis",67
"Bordetella bronchiseptica",67
"Mannheimia haemolytica",67
"Candidatus Giovannonibacteria bacterium",65
"Streptococcus mitis",65
"TPA_asm- Flavobacteriaceae",65
"Bacillus amyloliquefaciens",64
"Burkholderia stagnalis",64
"Flavobacterium psychrophilum",63
"Aeromonas hydrophila",62
"Burkholderiales bacterium",62
"Candidatus Daviesbacteria bacterium",62
"Lactobacillus paracasei",62
"TPA_asm- Patescibacteria",61
"Xanthomonas campestris",61
"Elusimicrobia bacterium",60
"Yersinia ruckeri",60
"TPA_asm- Alphaproteobacteria",59
"TPA_asm- Prevotellaceae",59
"Candidatus Magasanikbacteria bacterium",58
"Clostridium perfringens",58
"Rhizobiales bacterium",58
"Bacteroidales bacterium",57
"Nitrospirae bacterium",57
"Candidatus Moranbacteria bacterium",56
"Klebsiella michiganensis",56
"Planctomycetes bacterium",56
"TPA_asm- Proteobacteria",56
"Betaproteobacteria bacterium",55
"Chlamydia psittaci",54
"Microgenomates group",54
"Candidatus Curtissbacteria bacterium",53
"Verrucomicrobia bacterium",53
"Burkholderia mallei",52
"Candidatus Gottesmanbacteria bacterium",52
"Candidatus Zambryskibacteria bacterium",52
"Klebsiella variicola",52
"Lactobacillus crispatus",52
"Moraxella catarrhalis",52
"Bifidobacterium breve",51
"Brucella suis",51
"Cloacimonetes bacterium",51
"Enterobacter asburiae",51
"Gardnerella vaginalis",49
"Pectobacterium carotovorum",49
"TPA_asm- Gammaproteobacteria",49
"Pseudomonas amygdali",48
"Ruegeria mobilis",48
"Streptococcus sobrinus",48
"Treponema pallidum",48
"Chlamydia abortus",47
"Kingella kingae",47
"Salinispora arenicola",47
"TPA_asm- Enterobacteriaceae",47
"TPA_asm- Porphyromonadaceae",47
"TPA_asm- Verrucomicrobia",47
"Yersinia pseudotuberculosis",47
"Leuconostoc mesenteroides",46
"Omnitrophica WOR_2",46
"Pelagibacteraceae bacterium",46
"Sinorhizobium meliloti",46
"Xanthomonas translucens",46
"Fusobacterium nucleatum",45
"Prochlorococcus marinus",45
"Borrelia burgdorferi",43
"Candidatus Collierbacteria bacterium",43
"Lactobacillus casei",43
"Paeniclostridium sordellii",43
"Streptococcus salivarius",43
"TPA_asm- bacterium",43
"Candidatus Staskawiczbacteria bacterium",42
"Candidatus Taylorbacteria bacterium",42
"Mycobacterium chelonae",42
"Rhizobium leguminosarum",42
"Staphylococcus saprophyticus",42
"TPA_asm- Treponema",42
"Aeromonas veronii",41
"Candidatus Azambacteria bacterium",41
"Candidatus Rokubacteria bacterium",41
"Gemmatimonadetes bacterium",41
"Leptospira santarosai",41
"TPA_asm- Catabacter",41
"Bacillus pumilus",40
"Burkholderia vietnamiensis",40
"Ignavibacteria bacterium",40
"Salinispora pacifica",40
"Xylella fastidiosa",40
"Aggregatibacter actinomycetemcomitans",39
"Alpha proteobacterium",39
"Borrelia garinii",39
"Elizabethkingia anophelis",39
"Aeromonas salmonicida",38
"Candidatus Falkowbacteria bacterium",38
"Leptospira borgpetersenii",38
"Staphylococcus capitis",38
"TPA_asm- Dehalococcoidia",38
"Vibrio anguillarum",38
"Achromobacter xylosoxidans",37
"Acinetobacter nosocomialis",37
"Aminicenantes bacterium",37
"Coxiella burnetii",37
"Flavobacteriaceae bacterium",37
"Pseudomonas stutzeri",37
"Streptococcus thermophilus",37
"Candidatus Amesbacteria bacterium",36
"Staphylococcus hominis",36
"Streptococcus pseudopneumoniae",36
"Wolbachia endosymbiont",36
"Xanthomonas euvesicatoria",36
"Xanthomonas perforans",36
"Corynebacterium glutamicum",35
"Escherichia albertii",35
"Lactobacillus delbrueckii",35
"Porphyromonas gingivalis",35
"Rhodobacteraceae bacterium",35
"Rhodococcus hoagii",35
"Vibrio harveyi",35
"Burkholderia territorii",34
"Lactobacillus brevis",34
"Proteobacteria bacterium",34
"Streptomyces rimosus",34
"Vibrio alginolyticus",34
"Candidatus Doudnabacteria bacterium",33
"Paenibacillus odorifer",33
"Bifidobacterium animalis",32
"Candidatus Pelagibacter ubique",32
"Candidatus Peribacteria bacterium",32
"Rickettsia japonica",32
"Burkholderia multivorans",31
"Candidatus Peregrinibacteria bacterium",31
"Clavibacter michiganensis",31
"Enterobacter kobei",31
"Fusobacterium necrophorum",31
"Leptospira kirschneri",31
"Marinimicrobia bacterium",31
"Streptococcus equinus",31
"Streptococcus sanguinis",31
"Agrobacterium tumefaciens",30
"Bifidobacterium bifidum",30
"Candidatus Wolfebacteria bacterium",30
"Lactobacillus fermentum",30
"Paenibacillus polymyxa",30
"Riemerella anatipestifer",30
"Streptococcus parasanguinis",30
"TPA_asm- Actinobacteria",30
"TPA_asm- Methylophaga",30
"[Haemophilus] ducreyi",29
"Anaplasma phagocytophilum",29
"Candidatus Saccharibacteria bacterium",29
"Clostridia bacterium",29
"Cutibacterium acnes",29
"Enterococcus hirae",29
"Microcystis aeruginosa",29
"Mycobacterium africanum",29
"Mycoplasma bovis",29
"Pantoea ananatis",29
"Parcubacteria bacterium",29
